"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"6","E06-01","1","0","4.5","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f2.png","动作：高嵩冲向唯一一根现场音响线；程野侧身阻挡，并把装有同一张联单的封闭透明保护袋护在胸前。两人都闭口，此镜不出现电台或备份盘。","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"6","E06-01","2","4.5","9.5","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f3.png","动作：许知遥按下无字实体播放键，潮声从现场音响涌出；她说：‘你拔一根线，我还有三份备份。’三份备份留在场外，不在画面中出现。","可保留精确尾帧，无需裁切"
"6","E06-01","3","9.5","14.5","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-01\f3.png","","高嵩：“这是拆迁仪式，不是你的修复室。”（努力维持体面）","按设计时长输出"
"6","E06-02","1","14.5","18.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f2.png","动作：程野保持透明保护袋封闭，把装有联单的保护袋平举给围观者看；手指隔着塑料沿六行模糊编号移动。程野说：‘六桶编号，都在这儿。’","可保留精确尾帧，无需裁切"
"6","E06-02","2","18.5","22.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f3.png","动作：前排围观者放下效果图，转身看向联单。；高嵩：“一张泡烂的纸，也配叫证据？”（提高音量压住现场）","可保留精确尾帧，无需裁切"
"6","E06-02","3","22.5","26","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-02\f3.png","","许知遥：“所以请所有人一起核对。”（不与他争吵）","在动作完成点尾裁到 3.5s"
"6","E06-03","1","26","30","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f2.png","动作：防潮报警蜂鸣从音响里连续响起。；许潮：“七月十九日，一点四十七分。”（旧录音里的少年声音，紧张但清楚）","可保留精确尾帧，无需裁切"
"6","E06-03","2","30","33.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f3.png","许潮：“我还在货仓外。”（急促喘息中报出位置）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"6","E06-03","3","33.5","37.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-03\f3.png","","动作：高嵩后退一步，回头看向停在场边的拆迁设备。；高嵩：“关掉！”（控制第一次崩开）","按设计时长输出"
"6","E06-04","1","37.5","41.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f2.png","许知遥：“你怕的不是噪声，是时间。”（把音量推高）","可保留精确尾帧，无需裁切"
"6","E06-04","2","41.5","46","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f3.png","动作：发动机启动声盖过现场的低语。；许潮：“高嵩拿了备用钥匙，亲自开船。”（录音里快速报告）","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"6","E06-04","3","46","49.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-04\f3.png","","高嵩：“那是个孩子胡说！”（指向音响）","在动作完成点尾裁到 3.5s"
"6","E06-05","1","49.5","53.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f2.png","动作：程野把装有同一张联单的封闭透明保护袋平举到现场摄像设备前，隔袋指过六行模糊结构；他说：‘六桶，不是两桶。’","可保留精确尾帧，无需裁切"
"6","E06-05","2","53.5","57","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f3.png","许知遥：“编号连续，私章也在。”（逐项对账）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"6","E06-05","3","57","61.5","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E06-05\f3.png","","动作：围观者纷纷举起手机对准联单。；高嵩：“责任书还在，许德海洗不干净。”（退回最后一道旧结论）","在动作完成点尾裁到 4.5s"
