"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"4","E04-01","1","0","5","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f2.png","动作：为抢在次日九点拆迁前复核并转移剩余湿纸，许知遥与程野连夜返回货仓；程野留在门外备份取证，高嵩快步穿过门口，张开手臂拦住抱着电台离开的许知遥。；高嵩：“跑这么急，是怕我先找到那张清单？”（语气从容，像在谈一笔普通生意）","可保留精确尾帧，无需裁切"
"4","E04-01","2","5","8.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f3.png","许知遥：“我怕的是你把货仓推平。”（站定，声音冷静）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"4","E04-01","3","8.5","12.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-01\f3.png","","动作：许知遥把电台收进外套内侧，转身走向门口。；动作：高嵩从文件夹里抽出一页房产资料，递到她面前。","按设计时长输出"
"4","E04-02","1","12.5","17.5","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f2.png","高嵩：“城里一套房，换电台和清单。今晚就签。”（音量不高，句句留出逼人答应的停顿）","可保留精确尾帧，无需裁切"
"4","E04-02","2","17.5","22.5","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f3.png","许知遥：“你买得这么急，说明六桶不是笔误。”（盯着他，不接资料）","可保留精确尾帧，无需裁切"
"4","E04-02","3","22.5","26.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-02\f3.png","","动作：高嵩收回资料，反手把货仓门关上。；高嵩：“多出来的溶剂，我没否认。”（笑意不变）","按设计时长输出"
"4","E04-03","1","26.5","30","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f2.png","许知遥：“那晚是谁开的船？”（追问得很快）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"4","E04-03","2","30","33.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f3.png","高嵩：“雷打下来，谁开都一样。”（轻描淡写）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"4","E04-03","3","33.5","37","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-03\f3.png","","许知遥：“我爸被锁在这儿。”（压住怒意）","在动作完成点尾裁到 3.5s"
"4","E04-04","1","37","42","5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E04-04\f2.png","动作：高嵩转身拍了拍锈蚀的钢门。；高嵩：“他后来签了字，因为他知道许潮上了船。”（替死者下结论）","可保留精确尾帧，无需裁切"
