"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"1","E01-01","1","0","3.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f2.png","动作：许知遥刚从拆迁清点处领回父亲封存多年的旧物箱，抱着铁皮箱快步冲进候船厅，箱里反复漏出少年喘息。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-01","2","3.5","7","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f3.png","动作：她回身推紧候船厅的旧门。；动作：拆迁通知在售票窗上被风吹起。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-01","3","7","10.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-01\f3.png","","许知遥：“连他的东西也等不到明天。”（低声，压着不满）","在动作完成点尾裁到 3.5s"
"1","E01-02","1","10.5","14","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f2.png","动作：许知遥把铁皮箱放到长椅上。；动作：她掀开箱盖。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-02","2","14","17.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f3.png","动作：烧损的橙色电台躺在黄铜船钥匙旁。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-02","3","17.5","21","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-02\f3.png","","许知遥：“爸，你就留下这些？”（冷淡中带失望）","在动作完成点尾裁到 3.5s"
"1","E01-03","1","21","24.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f2.png","动作：她拿起电台检查烧融的外壳。；动作：电台扬声器又挤出一声短促喘息。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-03","2","24.5","27.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f3.png","许知遥：“这不是电流声。”（立刻警觉）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"1","E01-03","3","27.5","31.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-03\f3.png","","动作：许知遥把黄铜钥匙装进口袋。；动作：她抱起电台走出候船厅。","按设计时长输出"
"1","E01-04","1","31.5","35","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E01-04\f2.png","动作：当晚直到次日凌晨，许知遥回到临时修复室，把电台放在灰绿修复台中央。；动作：她用软刷清掉电池仓里的盐霜。","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
