"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"5","E05-01","1","0","4","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f2.png","动作：程野根据十五年前自己丢下半块船牌的位置，并结合许潮录音里奔向栈桥的脚步方向，沿防波堤快步跑下消波块，冲向退潮后露出的水线。；动作：他把安全绳扣在坡面的锈环上。","可保留精确尾帧，无需裁切"
"5","E05-01","2","4","7.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f3.png","程野：“知遥，给我十五分钟。”（对着耳机，已经开始调整呼吸）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"5","E05-01","3","7.5","11.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-01\f3.png","","画外信息：“退潮只剩十二分钟，别逞强。”（许知遥从电话里传来，克制而急促）","按设计时长输出"
"5","E05-02","1","11.5","15.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f2.png","程野：“十五年前，我已经退过一次。”（短暂停顿后说完）","可保留精确尾帧，无需裁切"
"5","E05-02","2","15.5","19.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f3.png","动作：程野戴好面镜，转身滑入黑色江水。；动作：安全绳沿着湿滑混凝土不断向水里移动。","可保留精确尾帧，无需裁切"
"5","E05-02","3","19.5","23","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-02\f3.png","","画外信息：“程野，回话。”（许知遥从耳机里呼叫）","在动作完成点尾裁到 3.5s"
"5","E05-03","1","23","27","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f2.png","动作：程野突然浮出水面，双臂抱住一只锈死的金属筒。；程野：“找到了。”（喘息很重）","可保留精确尾帧，无需裁切"
"5","E05-03","2","27","31","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-03\f2.png","","动作：他拖着金属筒爬上混凝土坡面。；动作：程野拧开筒盖。","按设计时长输出"
"5","E05-04","1","31","35","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f2.png","动作：同一只文件筒的筒盖已经完全旋下；唯一一卷湿联单只滑出一部分，仍留在筒内。程野闭口听许知遥画外下令：‘别展开，马上带回来。’","可保留精确尾帧，无需裁切"
"5","E05-04","2","35","38","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E05-04\f3.png","程野把同一只独立筒盖举到右侧头灯下，辨认无字的半月划痕：‘筒盖上有许潮的潮记。’","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
