"集","段","镜","集内开始秒","集内结束秒","设计时长","H3兜底生成时长","首帧","可选尾帧","中文内容","剪辑备注"
"2","E02-01","1","0","3","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f2.png","动作：程野收到许知遥连夜发来的报时片段和时间疑点后，带着事故记录快步推门进来，把记录压到滚动的报时波形旁。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-01","2","3","6","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f3.png","程野：“官方写一点二十分离岸。”（低沉，直接进入正题）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-01","3","6","10.5","4.5","5","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f4.png","动作：许知遥把电台录音拉回蜂鸣处。；许知遥：“这段报时在一点四十七。”（逐字核对）","使用尾帧：整段匀速变速到 4.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-01","4","10.5","13","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-01\f4.png","","动作：她按下播放。","在动作完成点尾裁到 2.5s"
"2","E02-02","1","13","16","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f2.png","许潮：“七月十九，一点四十七。”（录音，远而破碎）","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-02","2","16","20","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f3.png","动作：程野靠近扬声器。；动作：规律蜂鸣再次穿过潮声。","可保留精确尾帧，无需裁切"
"2","E02-02","3","20","22.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-02\f3.png","","程野：“这是货仓防潮报警器。”（确认，语气发沉）","在动作完成点尾裁到 2.5s"
"2","E02-03","1","22.5","24.5","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f2.png","许知遥：“不是船上的？”（迅速追问）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-03","2","24.5","28.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f3.png","动作：程野摇头。；程野：“每三十秒一次，我从小听到大。”（笃定）","可保留精确尾帧，无需裁切"
"2","E02-03","3","28.5","32.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f4.png","动作：许知遥把两条时间写在同一张纸上。；许知遥：“哥哥那时还在岸上。”（压住激动）","可保留精确尾帧，无需裁切"
"2","E02-03","4","32.5","35.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-03\f4.png","","程野：“至少有一份记录是假的。”（简短，回避她的目光）","在动作完成点尾裁到 3s"
"2","E02-04","1","35.5","39","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f2.png","动作：许知遥注意到他的回避。；许知遥：“你还知道什么？”（冷下来）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-04","2","39","41.5","2.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f3.png","动作：程野握紧椅背。","使用尾帧：整段匀速变速到 2.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-04","3","41.5","45.5","4","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-04\f3.png","","程野：“事故第二天，我捡到过半块船牌。”（停顿后承认）","按设计时长输出"
"2","E02-05","1","45.5","47.5","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f2.png","许知遥：“船牌呢？”（立刻追问）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-05","2","47.5","51","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f2.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f3.png","动作：程野松开椅背。；程野：“被我扔回水里了。”（负疚，句尾收短）","使用尾帧：整段匀速变速到 3.5s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-05","3","51","54","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f3.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f4.png","许知遥：“谁让你扔的？”（声音发硬）；动作：程野看向桌上的父亲旧照。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-05","4","54","56","2","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f4.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f5.png","程野：“许叔。”（很轻）","使用尾帧：整段匀速变速到 2s，禁止尾裁；仅首帧：可在动作完成点尾裁"
"2","E02-05","5","56","59.5","3.5","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-05\f5.png","","动作：许知遥抓起黄铜钥匙。；许知遥：“去货仓。现在。”（果断）","在动作完成点尾裁到 3.5s"
"2","E02-06","1","59.5","62.5","3","4","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f1.png","E:\0822_codex_project\projects\shuohao-skills\experiments\tide-marks\storyboard-full-pack\E02-06\f2.png","动作：许知遥快步走到货仓钢门前。","使用尾帧：整段匀速变速到 3s，禁止尾裁；仅首帧：可在动作完成点尾裁"
